id,Entity,text,url,gt,gemini-flash,gemini-pro,gemini-flash-vlm,train
00095.jsonl.gz-9680058,Flag,Flag of Israel,https://images.saymedia-content.com/.image/t_share/MTc2NDU4MDA0NzA2MzcxNTQ2/jewish-alphabet-hebrew-letters.jpg,israel,israel,israel,israel,1
00063.jsonl.gz-4147687,Kitchen,before-after-kitchen,https://www.drfloorsdfw.com/images/before-after-kitchen.jpg,no,no,no,-1,1
00024.jsonl.gz-5173577,Car,Universal Car Air Vent / Mount Holder for IPHONE / Sony / ANDROID Phones Ã¢ÂÂ Black,http://img.dxcdn.com/productimages/sku_344174_1_small.jpg,no,australia,no,-1,1
00105.jsonl.gz-10316996,Flag,NFL Seattle Seahawks Wall Banner Flag,http://cache2.allpostersimages.com/p/MED/98/9845/73KY500Z/posters/nfl-seattle-seahawks-wall-banner.jpg,united states,united states,united states,united states,1
410802,Office,"FILE - President Donald Trump and his family, daughter Ivanka Trump, her husband senior adviser Jared Kushner walks out of the Oval Office of the White House.",https://gdb.voanews.com/1A388A48-99E9-4177-9243-A72036E963E9_cx19_cy0_cw70_w250_r1_s.jpg,united states,united states,united states,united states,1
316402,Jewelry,Relationship with JEWELRY MAKING - Trucker Cap,"https://image.spreadshirtmedia.net/image-server/v1/mp/products/T1040A70PA2641PT1X34Y1D138456128S8/views/1,width=378,height=378,appearanceId=70,backgroundColor=E8E8E8/relationship-with-jewelry-making-trucker-cap.jpg",no,no,no,no,1
92291,Wedding Dress,Kleinfeld Bridal  Wedding Dress  How to find the perfect gown,https://i.pinimg.com/originals/57/6d/b8/576db8f3a01d63a13479bb6230a73498.jpg,no,germany,united states,united states,1
00036.jsonl.gz-7380797,Toilet,GAPPO Wall Mounted Shower Seat relax chair bath shower chair bathroom folding shower bench toilet chair,https://ae01.alicdn.com/kf/HTB1DGARX49YBuNjy0Ffq6xIsVXaO/GAPPO-Wall-Mounted-Shower-Seat-relax-chair-bath-shower-chair-bathroom-folding-shower-bench-toilet-chair.jpg_220x220.jpg,no,no,no,no,1
571591,Wedding Dress,Sheath/Column Plus Sizes Wedding Dress - Ivory Court Train Straps Chiffon Wedding Dresses,https://www.chicdresses.co.uk/image/cache/data/category_59/667pro_7-150x150.jpg,no,no,no,-1,1
00010.jsonl.gz-2069968,Mountain,"Jani Horvath wraps the wall of the WVU Veteran and Military Family Support Headquarters with military lifestyle scenes. The Support Headquarters located in the WVU Mountain Lair will provide academic and social support to student Veterans and their families. November 26, 2018. Photo Greg Ellis",https://photos.smugmug.com/Monthly-Photo-Galleries/2018-Photos/November-2018/35120-WVU-Veteran-and-Military-Family-Support/i-GzkwFtZ/0/d59c6ed4/Ti/35120%20S%20MGE%200121-Ti.jpg,united states,united states,united states,united states,1
341872,Wedding Dress,Chiffon V-Neckline Column Floor Length Embroidered Wedding Dress,https://www.allensbridal.co.uk/1079-8649-product_list/chiffon-v-neckline-empire-sweep-train-beading-wedding-dress.jpg,no,germany,no,no,1
00023.jsonl.gz-562317,House,Preventive Conservation for Historic House Museums,http://covers.feedbooks.net/item/82495.jpg?size=large&amp;t=1544967984,no,no,no,-1,1
00053.jsonl.gz-7299755,Flag,Drexel University House Flag,https://www.sportsflagsandpennants.com/images_products/drexel_university_house_flag_52747tin.jpg,united states,united states,united states,-1,1
00007.jsonl.gz-6134794,Beach,"Beach Connection Henry2000 Blouson, (Black), 115 (Taille Fabricant: X-Large)",https://cdn.fashiola.fr/L634940547/beach-connection-henry2000-blouson-black-115-taille-fabricant-x-large.jpg,no,no,no,-1,1
00059.jsonl.gz-17524563,House,"ConservatoryGuest Cottages, Tiny House, Studios Spaces, Art Studios, Dreams, Guest House, Greenhouses, Gardens, Green House",https://i.pinimg.com/736x/9f/ec/61/9fec61f1b538e1708ab2d010000e8661.jpg,no,no,no,no,1
00015.jsonl.gz-15691285,Island,Gilligan's Island - Complete 2nd Season (6-DVD),http://oldies.scdn5.secure.raxcdn.com/i/boxart/w170/a-z/x/xwb16126d.jpg?v=3,no,no,no,-1,1
424142,Shop,Sigma Ã§ÂµÂÃ¦Â¥ÂµÃ§ÂÂ¼Ã¥Â½Â±Ã¦ÂÂÃ¦ÂÂÃ¥ÂÂ·Ã¥ÂÂ·Ã¥ÂÂ­Ã¤Â»Â¶Ã§ÂµÂ Ultimate Blending Brush Set - WBK SHOP,https://s.yimg.com/ut/api/res/1.2/cg4gy9VxrfQEVJEcgsyp1w--~B/dz02MDA7aD02MDA7cT0xMDA7Zmk9Zml0O3NzPTEuMDthcHBpZD15dHdtYWxs/https://s.yimg.com/fy/9927/item/p0285204077202-item-cd83xf4x0600x0600-m.jpg,no,no,no,united states,1
543647,Shop,8% Off for All Motorcycles! New Year Sale Starts! Coupon Code: AFFSITEWIDE8. Ends Jan. 31. Shop Now!,https://www.megamotormadness.com/images/logo/8offscooter468-60.jpg,no,no,no,-1,1
00068.jsonl.gz-17555380,Island,Kobe Premium IS2336SQBDC23 - Island Mount Range Hood from Kobe,"https://assets.ajmadison.com/image/upload/c_limit,f_auto,fl_lossy.progressive,h_350,q_auto,w_500/v1/ajmadison/images/large_no_watermark/kobe_island_hood_is23_1_902c1.jpg",no,no,no,japan,1
00056.jsonl.gz-920146,Road,"Road painting on the Cwm Road, 1940s.",https://d294upe59e38bq.cloudfront.net/cwm-waunlwyd/wp-content/uploads/2014/07/cneta0pa000s-170x170.jpg,united kingdom,united kingdom,united kingdom,united kingdom,1
00029.jsonl.gz-5752264,Road,Morning frost on the meadow and dirt road,https://cdn.xxl.thumbs.canstockphoto.com/morning-frost-on-the-meadow-and-dirt-road-to-the-forest-pictures_csp74704186.jpg,no,no,no,-1,1
593644,Shop,skate your fears Accessories Complete - Basic Skateboard by jimpluk's Artist Shop,https://cdn-images.threadless.com/threadless-media/artist_shops/shops/jimpluk/products/1073279/shirt-1562438315-4a16c9012aef1a872d0ca573add9ce5b.jpg?v=3&d=eyJvbmx5X21ldGEiOiBmYWxzZSwgImZvcmNlIjogZmFsc2UsICJvcHMiOiBbWyJpZl8iLCBbeyJ0IjogImV4cHIiLCAidiI6IFsiaGFzX2FscGhhIiwgbnVsbCwgbnVsbF19LCB7InQiOiAiY29tcCIsICJ2IjogWyJ0aHJlYWRsZXNzLW1lZGlhL2FydGlzdF9zaG9wcy9zaG9wcy9qaW1wbHVrL3Byb2R1Y3RzLzEwNzMyNzkvc2hpcnQtMTU2MjQzODMxNS00YTE2YzkwMTJhZWYxYTg3MmQwY2E1NzNhZGQ5Y2U1Yi5qcGciLCBbWyJ0cmltIiwgW3RydWUsIGZhbHNlXSwge31dLCBbInJlc2l6ZSIsIFs1MzIuMjg1NzE0Mjg1NzE0MiwgMTk5NC4xNDI4NTcxNDI4NTczXSwgeyJtYXhfc2NhbGUiOiAxLjV9XSwgWyJwYWQiLCBbNDI0LjI4NTcxNDI4NTcxNDMsIDExOS41NzE0Mjg1NzE0Mjg1NiwgNDEwLjE0Mjg1NzE0Mjg1NzEsIDExOS41NzE0Mjg1NzE0Mjg1Nl0sIHsiYmFja2dyb3VuZCI6ICJmZmZmZmYifV0sIFsiY2FudmFzX2NlbnRlcmVkIiwgWzc3MS40Mjg1NzE0Mjg1NzEzLCAyODI4LjU3MTQyODU3MTQyODRdLCB7ImJhY2tncm91bmQiOiAiZmZmZmZmIn1dXV19LCB7InQiOiAiY29tcCIsICJ2IjogWyJ0aHJlYWRsZXNzLW1lZGlhL2FydGlzdF9zaG9wcy9zaG9wcy9qaW1wbHVrL3Byb2R1Y3RzLzEwNzMyNzkvc2hpcnQtMTU2MjQzODMxNS00YTE2YzkwMTJhZWYxYTg3MmQwY2E1NzNhZGQ5Y2U1Yi5qcGciLCBbWyJyZXNpemUiLCBbNzcxLjQyODU3MTQyODU3MTMsIDI4MjguNTcxNDI4NTcxNDI4NF0sIHsibWF4X3NjYWxlIjogMS41LCAic3R5bGUiOiAiQ1JPUCJ9XSwgWyJjYW52YXNfY2VudGVyZWQiLCBbNzcxLjQyODU3MTQyODU3MTMsIDI4MjguNTcxNDI4NTcxNDI4NF0sIHsiYmFja2dyb3VuZCI6ICJmZmZmZmYifV1dXX1dLCB7fV0sIFsiZW5jb2RlIiwgWyIucG5nIl0sIHsiZHBpIjogMzAwfV0sIFsicmVzaXplIiwgWzQ2NV0sIHt9XSwgWyJvdmVybGF5IiwgWyJ0aHJlYWRsZXNzLW1lZGlhL2FydGlzdF9zaG9wcy9vdmVybGF5cy83ODQzNjNjNzQ3YTQ5MWRkNjgxYTA0YzJlOGNmNmRlYS9mcm9udC0xNTYzMjk0MjEyLTRkN2MyMzVlNjY1OTNjYjU2MDhhM2JmZmFmODQ3NDEwLnBuZyJdLCB7InkiOiAxNTAsICJ4IjogNzY1LCAiYmFja2dyb3VuZCI6ICJmZmZmZmYifV0sIFsicmVzaXplIiwgWzgwMF0sIHt9XSwgWyJjYW52YXNfY2VudGVyZWQiLCBbODAwLCA4MDAsICIjZmZmZmZmIl0sIHt9XSwgWyJlbmNvZGUiLCBbImpwZyIsIDg1XSwge31dXX0=,no,no,no,no,1
00046.jsonl.gz-4579665,Flag,USA - American Flag Military Skull Mens T-shirt,https://cdn.shopify.com/s/files/1/1498/2894/products/usa-american-flag-military-skull-mens-t-shirt-16_large.jpg?v=1506523324,united states,united states,united states,united states,1
30274,Office,10 Easy 10 Latest Ceiling Designs Living Room 71 Recommended for Your Home Some of the Most Unique and Exciting with 10 Latest Ceiling Designs Living Room,https://bevilacqua.me/wp-content/uploads/2019/11/10-Easy-10-Latest-Ceiling-Designs-Living-Room-71-Recommended-for-Your-Home-Some-of-the-Most-Unique-and-Exciting-with-10-Latest-Ceiling-Designs-Living-Room-.jpg,no,united states,no,-1,1
00120.jsonl.gz-10283756,Toilet,wooden-disabled-toilet-signs-makemesomethingspecial.com,https://makemesomethingspecial.com/wp-content/uploads/2018/05/wooden-disabled-toilet-signs-makemesomethingspecial.com_-1200x797.jpg,no,no,no,-1,1
926954,Office,HYV office bearers at the meeting where they demand that Azamgarh be renamed as Aryamgarh.,https://images.hindustantimes.com/rf/image_size_960x540/HT/p2/2017/04/22/Pictures/_4bcc72a6-277d-11e7-929a-64902ca55664.jpg,india,india,india,india,1
531541,Wedding Dress,Ericdress Charming Sweetheart Lace Mermaid Color Wedding Dress,https://simages.ericdress.com/Upload/Image/2016/50/watermark/1050-1400/083ef36c-efd2-4c2d-9591-eb659657101d.jpg,no,germany,no,-1,1
604093,Living Room,Living Room Citizen Stationary Sofa,https://www.specsserver.com/CACHE/MELBGHRGCVKD.JPG?width=220&amp;height=220&ccid=x324fb86a,no,no,no,-1,1
00006.jsonl.gz-13150592,Apartment,6 bed apartment in Wausau,https://d1fii7kpq2y7pu.cloudfront.net/photos/1137394819/original/open-uri20191108-39-a3ii3y?1573221819,united states,united states,united states,-1,1
752039,Wedding Dress,Pearl Pink Sleeveless Ball Gown Wedding Dress With Lace Appliques,https://www.vampal.co.uk/content/res/thumbs/s176/0017631_pearl_pink_sleeveless_ball_gown_wedding_dress_with_lace_appliques_250.jpeg,no,no,no,no,1
659155,Lake,"The Leaves Of A Tree Located Near A Lake, Turn From Green To Yellow During The Autumn Season.",https://static3.bigstockphoto.com/8/9/3/large2/398264408.jpg,no,no,no,no,1
495926,Living Room,Cozy Living Room Decorating Ideas For Your Small Apartment ...,https://i.pinimg.com/originals/f7/9b/26/f79b26f2a49be5760b299d2f68745774.jpg,no,no,no,no,1
531003,Office,sandwich prefabricated mobile cheap light steel structure house for workers dormitory and office,http://g02.s.alicdn.com/kf/HTB16LJsKFXXXXbxXpXXq6xXFXXXu/sandwich-prefabricated-mobile-cheap-light-steel-structure.jpg_220x220.jpg,no,no,no,no,1
949004,Wedding Dress,peach wedding dress by Delphine Manivet,http://www.frenchweddingstyle.com/wp-content/uploads/2014/05/peach-wedding-dress.jpg,no,germany,france,no,1
00068.jsonl.gz-8146709,Flag,South Africa Waving Flag Canvas Print,https://rlv.zcache.com/south_africa_waving_flag_canvas_print-rb1bf7e49bd8146b8af2b5f30cc83f71e_88io_xwzpz_324.jpg,south africa,south africa,south africa,south africa,1
00100.jsonl.gz-4222217,House,"Designed to house offices and laboratories Completed as a phased Project over a 6 year period Ã¢ÂÂ 1930 - 1936 Wings 4 and 5 Wings 1,2 and 3, And then th",http://images.slideplayer.com/4/1450565/slides/slide_3.jpg,no,no,no,united states,1
00110.jsonl.gz-423900,Road,THE WALKING DEAD: ROAD TO ALEXANDRIA HOBBY BOX (TOPPS 2018),https://thumbs.ebaystatic.com/pict/3326177447574040_1.jpg,no,no,united states,-1,1
652437,Shop,Most Up To Date Shop Ready2Hangart 'smash Vii' Oversized Canvas Wall Art Ã¢ÂÂ Grey Throughout Overstock Wall Art (View 11 of 15),https://exzibit.net/wp-content/uploads/2018/09/most-up-to-date-shop-ready2hangart-smash-vii-oversized-canvas-wall-art-grey-throughout-overstock-wall-art.jpg,no,no,no,no,1
00027.jsonl.gz-11654191,Road,"413 200 BACK ROAD - CV Courtenay East Condo Apartment for sale, 1 Bedroom (451955)",https://s.realtyninja.com/static/rev-00000033/images/listings/med/4957_451955_1_2e7e9a46.jpg?width=735,canada,no,canada,-1,1
00007.jsonl.gz-10942088,Beach,"25 Lovely Beach Style Home Office Designs | Swivel chair, White oak and  Shelf design",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPaZNGavPmStQ6Qvz7w6dTXzWejKHYPlH34lbrEz1FoKgcyqeg,no,no,no,-1,1
00018.jsonl.gz-7423790,House,"Green House under protection icon isolated seamless pattern on yellow background. Home and lock. Protection, safety, security, protect, defense concept. Vector",https://us.123rf.com/450wm/vectorv/vectorv2007/vectorv200720239/152430855-green-house-under-protection-icon-isolated-seamless-pattern-on-yellow-background-home-and-lock-prote.jpg?ver=6,no,no,no,no,1
00095.jsonl.gz-10828796,Car,Robin Williams was 'Mrs. Doubtfire' on a cable car and locations all over S.F. Photo: Handout,https://s.hdnux.com/photos/22/64/60/4934662/5/920x920.jpg,united states,united states,united states,united states,1
457851,Living Room,"savan, 15 x 19 inch, swati jain,15x19inch,thick paper,paintings,folk art paintings,madhubani paintings,paintings for living room,paintings for bedroom,paintings for office,paintings for living room,paintings for bedroom,paintings for office,acrylic color,GAL01320723261",https://s3.amazonaws.com/gallerist-live/products/23261/thumb/savan.jpg?1551882981,no,india,india,-1,1
783023,Wedding Dress,Wedding Dress For   Ph : White strapless ball gown embroidery beading dress for,https://www.dress.ph/images/C/CSS049/CSS04901b.jpg,no,no,no,no,1
503290,Shop,All of the Critters Please! - Shop With Me - Goodwill Thrift Store,https://i.ytimg.com/vi/rIGptb6pDHQ/mqdefault.jpg,no,jamaica,no,united states,1
00010.jsonl.gz-6362985,Hotel,The Howick Falls Howick is in KwaZulu-Natal South Africa . Book a cheap hotel: UnBonHotel.com...,https://media2.picsearch.com/is?IesGbGWdy4pf_mlDlVsrlKROH_aarwSdqFfgXkCPW-w&height=231,south africa,south africa,south africa,-1,1
00066.jsonl.gz-1127893,House,This White Carriage House Garage Door Has The Look Of Painted,https://i.pinimg.com/originals/b1/6a/85/b16a85e8bc3ae232deb70ca6e71448c9.png,no,no,no,united states,1
00104.jsonl.gz-12107388,Apartment,Boutique Furnished Apartment with Original Artwork - Charlotte vacation rentals,https://tap2.fkimg.com/media/vr-splice-l/01/36/13/2c.jpg,united states,united states,united states,united states,1
00019.jsonl.gz-3139291,Car,WPL C44KM Metal Edition Unassembled Kit 1/16 4WD RC Car Off-Road Vehicles with Motor Servo,https://img2.bgxcdn.com/thumb/grid/oaupload/ser1/banggood/images/EE/57/ad98d777-a642-4eb2-9458-e8a2a6bedfd6.jpg,no,no,no,-1,1
825750,Wedding Dress,Elvi Design Custom Made Wedding Dress Perth043,https://www.elvidesign.com.au/wp-content/uploads/2017/07/Elvi-Design-Custom-Made-Wedding-Dress-Perth043.jpg,australia,australia,australia,australia,1
00111.jsonl.gz-12065053,House,chief fire officer at fully engulfed house fire at night,http://www.firescenes.net/wp-content/uploads/2014/02/2014_JAN_29_1221_Industrial_Rd_Ayr_030.jpg,no,no,no,united states,1
00091.jsonl.gz-11730624,Hotel,Hotel NH Collection Brussels Grand Sablon,https://s3-eu-west-1.amazonaws.com/brussels-images/content/gallery/visit/hotel/Hotel-NH-Collection-Brussels-Grand-Sablon_0mbycziv0se_sq_640.jpg,belgium,belgium,belgium,-1,1
00018.jsonl.gz-11158398,Toilet,Toilet Paper Holder by Ferm Living,https://i.pinimg.com/736x/60/11/36/601136ffc35f909980070908c29616e7--black-toilet-gatineau.jpg,no,no,no,denmark,1
00121.jsonl.gz-14567475,Car,Useful Car Front Seat Cover PU Leather 1 Pc Dustproof Cushion Universal Non Slip Seat Cover,https://ae01.alicdn.com/kf/HTB1DlWTXFY7gK0jSZKzxh5ikpXaW/Useful-font-b-Car-b-font-Front-font-b-Seat-b-font-font-b-Cover-b.jpeg,no,no,no,no,1
532616,Lake,Heading up one of the few switchbacks.- Wall Lake Loop,https://www.outdoorproject.com/sites/default/files/styles/thumbnail/public/1533841141/walllakeloop-004.jpg?itok=Pqtsaa5F,united states,no,no,united states,1
00106.jsonl.gz-16555029,House,"Thumbnail 4 bedroom semi-detached house for sale in St Michaels Place, Stroud, Glos",https://lid.zoocdn.com/354/255/d57071fd9a49c6295c3dda3ddf6053028345af4b.jpg,united kingdom,united kingdom,united kingdom,united kingdom,1
345583,Valley,fall in the valley innerdalen in norway the view of the river inna,http://attfreya.com//hash/stock/a/f/c/8/afc86cfbc073aecdd6e9dc8e37b1a917.jpg,norway,norway,norway,norway,1
00018.jsonl.gz-16190502,Mountain,mountain village in alps  at night,https://photodune.img.customer.envatousercontent.com/files%2F254940569%2F810_4457.jpg?w=400&fit=max&mark=https%3A%2F%2Fassets.shopfront.envato-static.com%2Fimages%2Fwatermarks-19012018.png&markalign=top%2Cleft&markpad=0&markfit=crop&fm=pjpg&q=50&s=b5ba00bc003ed419ec034ccd94e96d04,no,no,no,-1,1
00048.jsonl.gz-7952528,House,Canvas Print -Sydney Harbour Bridge and Opera House from the Rocks,https://i.pinimg.com/736x/b9/5c/52/b95c52ea36746696cf636e6eec332711--sydney-harbour-bridge-opera-house.jpg,australia,australia,australia,australia,1
00079.jsonl.gz-13600742,Hill,Silver Fox standing watch from a small hill amongst fall colour - CA,https://ssl.c.photoshelter.com/img-get/I0000QPARpZ4AkXE/s/750/750/PFB-20081129-4752.jpg,canada,no,canada,-1,1
00109.jsonl.gz-10353717,House,"Detached house For Sale In Whitchurch-Stouffville - 45 Loggers Tr, Whitchurch-Stouffville, Ontario, Canada L3Y4W1 , 4 Bedrooms Bedrooms, ,4 BathroomsBathrooms,Detached,For Sale,Loggers",https://idxmedia.realtyfeed.com/76581369/60a28b23-621e-42dd-b9b9-c8325e23e146.jpg,canada,canada,canada,canada,1
380924,Living Room,Target Living Room Rugs All Images Threshold Diamond Rug From Target Living Room Tv,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTr46vXmEvR1Mr0abSa2tEhIOALZ4fFGtgpDgudngqbfCZ-ePXUAw,no,united states,no,no,1
446754,Lake,"Lightening Creek Campsite Sign, Ross Lake National Recreation Area, North Cascades National Park, Washington, US",https://m.psecn.photoshelter.com/img-get/I0000XnNVzJ5TVtI/t/200/I0000XnNVzJ5TVtI.jpg,united states,united states,united states,united states,1
775375,Living Room,Couple relaxes in the living room Stock Photos,https://images.pond5.com/couple-relaxes-living-room-photo-077499615_iconm.jpeg,no,united kingdom,no,no,1
00081.jsonl.gz-6725696,Mountain,Samsung Galaxy J5 with Mountain Background,https://www.androidinfotech.com/wp-content/uploads/2019/04/Samsung-Galaxy-J5-with-Mountain-Background.jpg,no,colombia,no,united kingdom,1
166122,Lake,The Upper Lake At Sunrise Wall Mural,https://cdn.shopify.com/s/files/1/2123/8425/products/1900781-ALT-20170808-72_cf0417fe-d4a0-445a-aafa-3e3d4f093129_530x.jpg?v=1578655190,india,united states,no,canada,1
00025.jsonl.gz-2233630,Bedroom,A.R.T. Furniture Old World Bedroom Armoire - Pomegranate | Hayneedle,https://images.hayneedle.com/mgen/inuse:ARTF354.jpg,no,no,no,-1,1
00024.jsonl.gz-10409715,Apartment,"Apartment in Kissimmee With Internet, Parking, Balcony, Washing Machine - Kissimmee Hotels",https://images.trvl-media.com/hotels/17000000/16900000/16899800/16899766/4e41e7f9_e.jpg,united states,united states,united states,-1,1
00094.jsonl.gz-16615198,House,"6 bedroom detached house for sale - Hamilton Terrace, London, NW8",https://media.onthemarket.com/properties/9201317/1322097128/image-0-480x320.jpg,united kingdom,united kingdom,united kingdom,united kingdom,1
00038.jsonl.gz-18080015,Bedroom,Archive: 5 Bedroom Fully Detached Duplex With Bq IKATE Lekki,https://pictures-nigeria.jijistatic.com/64660034_96debb04-a7be-4d46-a554-1c06c9b45b27_810x1080.jpg,nigeria,nigeria,nigeria,-1,1
00005.jsonl.gz-10958526,House,"Photo for 3BR House Vacation Rental in Cape Coral, Florida",https://odis.homeaway.com/odis/listing/82d1f80b-5cdf-451d-8f10-237a3fb963b2.c6.jpg,united states,united states,united states,-1,1
160173,Living Room,how-well-matched-do-area-rugs-in-adjoining-rooms-have-to-be-oriental-rugs-living-room-Stephen-Shadley-Washington-D-C-architectural-digest.jpg,https://blog.asmarainc.com/wp-content/uploads/2017/05/how-well-matched-do-area-rugs-in-adjoining-rooms-have-to-be-oriental-rugs-living-room-Stephen-Shadley-Washington-D-C-architectural-digest.jpg,united states,united states,united states,-1,1
00012.jsonl.gz-844190,Island,River Island Wide Fit - Ankle boots - black,https://img01.ztat.net/article/RI/D1/1N/00/TQ/11/RID11N00T-Q11@10.jpg?imwidth=762,no,no,no,united kingdom,1
798623,Jewelry,TWO Large Doggie Nose (or Paw) Prints Keychain with Custom Engraving - Maya Belle Jewelry,https://cdn.shopify.com/s/files/1/2780/7438/products/IMG_6046_grande.jpeg?v=1570297305,no,no,no,no,1
117165,Valley,"easy rider, Death Valley T-Shirt",https://rlv.zcache.com.au/easy_rider_death_valley_t_shirt-r2a08b3cc630f4bd29715bbfbeef133ca_k212a_324.jpg,no,united states,united states,-1,1
00101.jsonl.gz-8199250,Apartment,"LLAG Luxury Vacation Apartment in Bad Windsheim - 538 sqft, modern, comfortable (# 503) - Bad Windsheim vacation rentals",https://tap1.fkimg.com/media/vr-splice-l/00/0f/61/69.jpg,germany,germany,germany,germany,1
00016.jsonl.gz-2489055,Island,"Deers in front of  trees with red leaves. Miyajima Island, Omoto Park. Japan - Travelasia",http://cdn.asiapix.com/thumbs/AI/06263AI28187.jpg,japan,japan,japan,japan,1
835917,Office,Office and Business Icon stock illustration,https://thumbs.dreamstime.com/t/office-business-icon-vector-41172298.jpg,no,united kingdom,no,no,1
170085,Lake,* Lakefront Log Home Retreat * Big Sandy Lake,https://odis.homeaway.com/odis/listing/6aceac68-34a5-4316-890a-047f30716af3.c9.jpg,no,united states,no,-1,1
437440,Living Room,HD printed 5 piece canvas art golf ready for kickoff painting wall pictures for living room modern free shipping CU-2027A image,https://ae01.alicdn.com/kf/HTB19fLEXhHBK1JjSZFyq6AmcFXaw/HD-printed-5-piece-canvas-art-golf-ready-for-font-b-kickoff-b-font-painting-wall.jpg_350x350.jpg,no,no,no,no,1
00064.jsonl.gz-14648865,Apartment,"Apartment for rent in a newly built house in Palanga, near the Baltic sea - 3",https://www.priejuros.lt/uploads/hotel21750/naujos-statybos-butas-177061.jpeg,lithuania,lithuania,lithuania,lithuania,1
00065.jsonl.gz-1401268,Kitchen,interior designed kitchens decorating your home design ideas with fantastic amazing kitchen,http://t0.gstatic.com/images?q=tbn:ANd9GcRMW-7T0T_s3cFIr69BsCkf_-Syc-O5wwz2SqQtRz98njJfXEqP6g,no,united states,no,no,1
00093.jsonl.gz-9694972,Kitchen,Brilliant Kitchen Designs Cherry Cabinets Design Mesmerizing - Cherry cabinet kitchen designs,http://t0.gstatic.com/images?q=tbn:ANd9GcSv9wGJ4-DvWm4xvEtmjNDgkGINuyox0og8b1dPN9B_WpMU40zsaQ,no,united states,no,no,1
00001.jsonl.gz-14479985,Beach,Autumn As The Seasons Change Round Beach Towel,https://render.fineartamerica.com/images/rendered/small/flat/round-beach-towel/images/artworkimages/medium/2/autumn-as-the-seasons-change-james-bo-insogna.jpg?transparent=0&targetx=-197&targety=0&imagewidth=1182&imageheight=788&modelwidth=788&modelheight=788&backgroundcolor=020201&orientation=0&producttype=beachtowelround&imageid=9926446,no,no,no,no,1
00021.jsonl.gz-8556662,Hotel,"Actress Carla Ortiz attends the International Press Academy's 17th Annual Satellite Awards at InterContinental Hotel on December 16, 2012 in Century City, California.",https://media.gettyimages.com/photos/actress-carla-ortiz-attends-the-international-press-academys-17th-picture-id158458337?k=6&amp;m=158458337&amp;s=612x612&amp;w=0&amp;h=mVpfdKO4Rr67Ue8RO1CZvqFw7rZkUPSgEIvvYvOK16I=,united states,united states,united states,-1,1
00051.jsonl.gz-12983910,Hotel,"Ilikai Hotel, Honolulu Wedding Photographer",https://i1.wp.com/israelbaldago.com/wp-content/uploads/2017/12/Honolulu-wedding-hawaii-destination-wedding-waimanalo0002-1024x682.jpg?resize=1024%2C682,united states,united states,united states,united states,1
00029.jsonl.gz-4580053,Flag,Hungary National Flag Poster Print Poster,http://cache2.allpostersimages.com/p/MED/63/6317/GZ47100Z/posters/hungary-national-flag-poster-print.jpg,hungary,hungary,hungary,hungary,1
00065.jsonl.gz-5727127,Mountain,the-north-face-purple-label-mountain-short-down-parka16,https://www.keitalife.com/wp-content/uploads/2018/12/DSCF6685.jpg,no,no,no,japan,1
00079.jsonl.gz-8618622,Flag,Flag Of Madeira on the background of the sky and flying...,https://cdn.xxl.thumbs.canstockphoto.com/flag-of-madeira-on-the-background-of-the-sky-and-flying-clouds-video_csp8351194.jpg,portugal,no,portugal,-1,1
00008.jsonl.gz-2520873,Bedroom,bedroom side view. Side View Of Romantic Lesbians Rubbing Noses While Sitting On Bed Bedroom O,https://cdn9.dissolve.com/p/D1061_119_067/D1061_119_067_1200.jpg,no,no,no,united states,1
00104.jsonl.gz-14109829,Beach,5 pieces / set of bohemian simple beach style ring set woman's ring retro crystal opal ring ring set ball wedding jewelry ring,https://ae01.alicdn.com/kf/HTB1VFCGeRaE3KVjSZLeq6xsSFXac/5-pieces-set-of-bohemian-simple-beach-style-ring-set-woman-s-ring-retro-crystal-opal.jpg_220x220.jpg,no,no,no,-1,1
00031.jsonl.gz-1859136,Toilet,Kohler Memoirs Stately Two Piece Toilet Round Bowl K-3933-0 White,https://cdn.shopify.com/s/files/1/1758/8651/products/Category_Template_22_large.jpg?v=1494620876,no,united states,no,united states,1
00064.jsonl.gz-1549870,Hill,"Sherri Hill 11332 Sherri Hill Prom Dresses, Evening Dresses and Homecoming Dresses | McHenry | Crystal Lake IL",https://img-fs-3.wnlimg.com/p/b01/c7c/458/8de632c4b28baf00b6dc8c4/x200-q90.jpg,united states,united states,united states,-1,1
00005.jsonl.gz-8032674,Island,Slip77 Island Hopper Leather Patch Trucker,https://cdn.shopify.com/s/files/1/0013/6426/3030/products/hoi2ziauw6pvwcl8e5ez_large.jpg?v=1586392844,no,no,no,-1,1
00092.jsonl.gz-13026789,Bedroom,tan-roller-shades-moutain-home-bedroom,https://budgetblinds.com/siteassets/national-pages/our-products/shades/roller-shades/gallery-images/tan-roller-shades-moutain-home-bedroom.jpg?hfc-r=PCLXFO,no,united states,no,no,1
00018.jsonl.gz-14725988,Kitchen,Sexy young blonde woman in kitchen washing grapes,https://thumb7.shutterstock.com/image-photo/stock-photo-sexy-young-blonde-woman-in-kitchen-washing-grapes-450w-90484450.jpg,no,no,no,-1,1
